house_id,territory_id,living_area,geometry
125635,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1951847, 59.482413], [34.195173, 59.4823573], [34.195311, 59.4823499], [34.1953227, 59.4824056], [34.1951847, 59.482413]]]}"
125652,306,50,"{'type': 'Polygon', 'coordinates': [[[34.2854588, 59.5034323], [34.2856612, 59.5034508], [34.2857583, 59.5031779], [34.2855559, 59.5031594], [34.2854588, 59.5034323]]]}"
125664,306,50,"{'type': 'Polygon', 'coordinates': [[[34.2858513, 59.5030339], [34.2860047, 59.5030489], [34.2861582, 59.5030639], [34.2864651, 59.5030939], [34.2866186, 59.5031089], [34.286772, 59.5031239], [34.2868064, 59.5030331], [34.2858858, 59.5029431], [34.2858513, 59.5030339]]]}"
125673,306,50,"{'type': 'Polygon', 'coordinates': [[[34.2857066, 59.5037893], [34.2859066, 59.5038138], [34.2860345, 59.5035442], [34.2858346, 59.5035198], [34.2857066, 59.5037893]]]}"
125690,306,50,"{'type': 'Polygon', 'coordinates': [[[34.2859647, 59.5041637], [34.2861661, 59.5041847], [34.2862761, 59.5039131], [34.2860746, 59.5038921], [34.2859647, 59.5041637]]]}"
125691,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1954796, 59.4822178], [34.195478, 59.4821758], [34.1955845, 59.4821748], [34.1955861, 59.4822167], [34.1954796, 59.4822178]]]}"
125701,306,50,"{'type': 'Polygon', 'coordinates': [[[34.2869083, 59.5037176], [34.2871207, 59.5037358], [34.2872676, 59.5032946], [34.2870552, 59.5032764], [34.2869083, 59.5037176]]]}"
125708,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1978831, 59.4847783], [34.1978772, 59.4847296], [34.1980135, 59.4847254], [34.1980194, 59.4847741], [34.1978831, 59.4847783]]]}"
125718,306,50,"{'type': 'Polygon', 'coordinates': [[[34.2865938, 59.5040777], [34.2865413, 59.5042064], [34.2867107, 59.5042241], [34.2867138, 59.5042164], [34.2870181, 59.5042483], [34.287015, 59.5042561], [34.2871852, 59.5042739], [34.2872377, 59.5041453], [34.2870674, 59.5041274], [34.2870636, 59.5041366], [34.2867593, 59.5041047], [34.2867631, 59.5040955], [34.2865938, 59.5040777]]]}"
125722,306,50,"{'type': 'Polygon', 'coordinates': [[[34.2874586, 59.5031779], [34.2876121, 59.5031929], [34.2877655, 59.5032079], [34.2880724, 59.5032379], [34.2882259, 59.5032529], [34.2883793, 59.5032679], [34.2884138, 59.5031771], [34.2874931, 59.5030871], [34.2874586, 59.5031779]]]}"
125739,306,50,"{'type': 'Polygon', 'coordinates': [[[34.2872922, 59.503957], [34.2872398, 59.5040857], [34.2874091, 59.5041034], [34.2874123, 59.5040957], [34.2877166, 59.5041276], [34.2877134, 59.5041354], [34.2878837, 59.5041532], [34.2879361, 59.5040246], [34.2877658, 59.5040067], [34.2877621, 59.5040159], [34.2874578, 59.503984], [34.2874615, 59.5039748], [34.2872922, 59.503957]]]}"
125748,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1964531, 59.4813738], [34.1964415, 59.4813181], [34.1965795, 59.4813106], [34.1965911, 59.4813663], [34.1964531, 59.4813738]]]}"
125751,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1952343, 59.4825966], [34.1952226, 59.4825409], [34.1953606, 59.4825335], [34.1953723, 59.4825892], [34.1952343, 59.4825966]]]}"
125763,306,50,"{'type': 'Polygon', 'coordinates': [[[34.2885387, 59.5038722], [34.288751, 59.5038904], [34.288898, 59.5034492], [34.2886856, 59.503431], [34.2885387, 59.5038722]]]}"
125771,286,50,"{'type': 'Polygon', 'coordinates': [[[34.1955177, 59.4823942], [34.1955126, 59.4823447], [34.1956345, 59.4823415], [34.1956397, 59.4823909], [34.1955177, 59.4823942]]]}"
